Text,Start,End,Entity
Xylocaine 20 mL,129,132,DRUG_DOSE
Chest pain,26,36,DISEASE
Chest pain,122,132,DISEASE
intercostal block,318,335,DISEASE
chest pain,388,398,DISEASE
Xylocaine,730,739,CHEMICAL
Marcaine,750,758,CHEMICAL
contusion,987,996,DISEASE
respiratory distress,1076,1096,DISEASE
pain,1150,1154,DISEASE
Marcaine 0.25%,133,136,DRUG_DOSE
Chest pain,26,36,DISEASE
Chest pain,122,132,DISEASE
intercostal block,318,335,DISEASE
chest pain,388,398,DISEASE
Xylocaine,730,739,CHEMICAL
Marcaine,750,758,CHEMICAL
contusion,987,996,DISEASE
respiratory distress,1076,1096,DISEASE
pain,1150,1154,DISEASE
Aspirin 81 mg,204,207,DRUG_DOSE
non-small cell lung cancer,114,140,DISEASE
barium,322,328,CHEMICAL
hiatal hernia,373,386,DISEASE
odynophagia,647,658,DISEASE
tenderness,829,839,DISEASE
DVT,918,921,DISEASE
weight loss,952,963,DISEASE
anorexia,965,973,DISEASE
fevers,975,981,DISEASE
chills,983,989,DISEASE
headaches,991,1000,DISEASE
aches,1006,1011,DISEASE
pains,1015,1020,DISEASE
cough,1022,1027,DISEASE
hemoptysis,1029,1039,DISEASE
shortness of breath,1041,1060,DISEASE
dyspnea,1073,1080,DISEASE
Aspirin,1109,1116,CHEMICAL
Spiriva,1134,1141,CHEMICAL
albuterol,1159,1168,CHEMICAL
cyanosis,1455,1463,DISEASE
clubbing,1465,1473,DISEASE
Cranial nerves II,1516,1533,DISEASE
non-small cell lung cancer,1657,1683,DISEASE
DVT,1853,1856,DISEASE
nifedipine,1930,1940,CHEMICAL
esophageal spasm,1966,1982,DISEASE
Spiriva 10 mcg,212,215,DRUG_DOSE
non-small cell lung cancer,114,140,DISEASE
barium,322,328,CHEMICAL
hiatal hernia,373,386,DISEASE
odynophagia,647,658,DISEASE
tenderness,829,839,DISEASE
DVT,918,921,DISEASE
weight loss,952,963,DISEASE
anorexia,965,973,DISEASE
fevers,975,981,DISEASE
chills,983,989,DISEASE
headaches,991,1000,DISEASE
aches,1006,1011,DISEASE
pains,1015,1020,DISEASE
cough,1022,1027,DISEASE
hemoptysis,1029,1039,DISEASE
shortness of breath,1041,1060,DISEASE
dyspnea,1073,1080,DISEASE
Aspirin,1109,1116,CHEMICAL
Spiriva,1134,1141,CHEMICAL
albuterol,1159,1168,CHEMICAL
cyanosis,1455,1463,DISEASE
clubbing,1465,1473,DISEASE
Cranial nerves II,1516,1533,DISEASE
non-small cell lung cancer,1657,1683,DISEASE
DVT,1853,1856,DISEASE
nifedipine,1930,1940,CHEMICAL
esophageal spasm,1966,1982,DISEASE
nifedipine 10 mg,376,379,DRUG_DOSE
non-small cell lung cancer,114,140,DISEASE
barium,322,328,CHEMICAL
hiatal hernia,373,386,DISEASE
odynophagia,647,658,DISEASE
tenderness,829,839,DISEASE
DVT,918,921,DISEASE
weight loss,952,963,DISEASE
anorexia,965,973,DISEASE
fevers,975,981,DISEASE
chills,983,989,DISEASE
headaches,991,1000,DISEASE
aches,1006,1011,DISEASE
pains,1015,1020,DISEASE
cough,1022,1027,DISEASE
hemoptysis,1029,1039,DISEASE
shortness of breath,1041,1060,DISEASE
dyspnea,1073,1080,DISEASE
Aspirin,1109,1116,CHEMICAL
Spiriva,1134,1141,CHEMICAL
albuterol,1159,1168,CHEMICAL
cyanosis,1455,1463,DISEASE
clubbing,1465,1473,DISEASE
Cranial nerves II,1516,1533,DISEASE
non-small cell lung cancer,1657,1683,DISEASE
DVT,1853,1856,DISEASE
nifedipine,1930,1940,CHEMICAL
esophageal spasm,1966,1982,DISEASE
aspirin one tablet,220,223,DRUG_DOSE
thrombocytopenia,160,176,DISEASE
atrial fibrillation,696,715,DISEASE
fever,884,889,DISEASE
chills,891,897,DISEASE
sweats,908,914,DISEASE
lymphadenopathy,920,935,DISEASE
nausea,941,947,DISEASE
vomiting,951,959,DISEASE
Multivitamin q.d,1023,1039,CHEMICAL
aspirin,1042,1049,CHEMICAL
q.d,1061,1064,CHEMICAL
Lupron q.,1067,1076,CHEMICAL
Warfarin,1116,1124,CHEMICAL
"negative.,PAST",1222,1236,DISEASE
Prostate cancer,1309,1324,DISEASE
prostate,1565,1573,DISEASE
q. three months,227,230,DRUG_DOSE
thrombocytopenia,160,176,DISEASE
atrial fibrillation,696,715,DISEASE
fever,884,889,DISEASE
chills,891,897,DISEASE
sweats,908,914,DISEASE
lymphadenopathy,920,935,DISEASE
nausea,941,947,DISEASE
vomiting,951,959,DISEASE
Multivitamin q.d,1023,1039,CHEMICAL
aspirin,1042,1049,CHEMICAL
q.d,1061,1064,CHEMICAL
Lupron q.,1067,1076,CHEMICAL
Warfarin,1116,1124,CHEMICAL
"negative.,PAST",1222,1236,DISEASE
Prostate cancer,1309,1324,DISEASE
prostate,1565,1573,DISEASE
Warfarin 2.5 mg,239,242,DRUG_DOSE
thrombocytopenia,160,176,DISEASE
atrial fibrillation,696,715,DISEASE
fever,884,889,DISEASE
chills,891,897,DISEASE
sweats,908,914,DISEASE
lymphadenopathy,920,935,DISEASE
nausea,941,947,DISEASE
vomiting,951,959,DISEASE
Multivitamin q.d,1023,1039,CHEMICAL
aspirin,1042,1049,CHEMICAL
q.d,1061,1064,CHEMICAL
Lupron q.,1067,1076,CHEMICAL
Warfarin,1116,1124,CHEMICAL
"negative.,PAST",1222,1236,DISEASE
Prostate cancer,1309,1324,DISEASE
prostate,1565,1573,DISEASE
Topamax 100 mg,57,60,DRUG_DOSE
hypertension,45,57,DISEASE
"breath.,PAST",75,87,DISEASE
alcohol,219,226,CHEMICAL
obesity,293,300,DISEASE
Topamax,342,349,CHEMICAL
Zoloft,370,376,CHEMICAL
Abilify,397,404,CHEMICAL
Motrin,417,423,CHEMICAL
edema,869,874,DISEASE
clubbing,876,884,DISEASE
Zoloft 100 mg,63,66,DRUG_DOSE
hypertension,45,57,DISEASE
"breath.,PAST",75,87,DISEASE
alcohol,219,226,CHEMICAL
obesity,293,300,DISEASE
Topamax,342,349,CHEMICAL
Zoloft,370,376,CHEMICAL
Abilify,397,404,CHEMICAL
Motrin,417,423,CHEMICAL
edema,869,874,DISEASE
clubbing,876,884,DISEASE
Abilify 5 mg,69,72,DRUG_DOSE
hypertension,45,57,DISEASE
"breath.,PAST",75,87,DISEASE
alcohol,219,226,CHEMICAL
obesity,293,300,DISEASE
Topamax,342,349,CHEMICAL
Zoloft,370,376,CHEMICAL
Abilify,397,404,CHEMICAL
Motrin,417,423,CHEMICAL
edema,869,874,DISEASE
clubbing,876,884,DISEASE
Motrin 800 mg,74,77,DRUG_DOSE
hypertension,45,57,DISEASE
"breath.,PAST",75,87,DISEASE
alcohol,219,226,CHEMICAL
obesity,293,300,DISEASE
Topamax,342,349,CHEMICAL
Zoloft,370,376,CHEMICAL
Abilify,397,404,CHEMICAL
Motrin,417,423,CHEMICAL
edema,869,874,DISEASE
clubbing,876,884,DISEASE
Xanax 1 mg,76,79,DRUG_DOSE
"Chronic obstructive pulmonary disease.,2",29,69,DISEASE
Diabetes,114,122,DISEASE
"chronic obstructive pulmonary disease.,2",247,287,DISEASE
Diabetes,289,297,DISEASE
Albuterol,553,562,CHEMICAL
Xanax,581,586,CHEMICAL
Cardizem,602,610,CHEMICAL
Colace,631,637,CHEMICAL
"NPH 10 units subcutaneous b.i.d.,7",685,719,DISEASE
Atrovent,721,729,CHEMICAL
Statin,748,754,CHEMICAL
Paxil,803,808,CHEMICAL
Prednisone,826,836,CHEMICAL
Darvocet,854,862,CHEMICAL
Nexium,960,966,CHEMICAL
complaints of shortness of breath,1047,1080,DISEASE
COPD,1109,1113,DISEASE
AMA,1186,1189,CHEMICAL
COPD,1303,1307,DISEASE
bronchitis,1366,1376,DISEASE
diverticular disease,1608,1628,DISEASE
hemorrhage,1690,1700,DISEASE
Plavix,1702,1708,CHEMICAL
Lovenox,1745,1752,CHEMICAL
bleeding,1787,1795,DISEASE
Colace 100 mg,87,90,DRUG_DOSE
"Chronic obstructive pulmonary disease.,2",29,69,DISEASE
Diabetes,114,122,DISEASE
"chronic obstructive pulmonary disease.,2",247,287,DISEASE
Diabetes,289,297,DISEASE
Albuterol,553,562,CHEMICAL
Xanax,581,586,CHEMICAL
Cardizem,602,610,CHEMICAL
Colace,631,637,CHEMICAL
"NPH 10 units subcutaneous b.i.d.,7",685,719,DISEASE
Atrovent,721,729,CHEMICAL
Statin,748,754,CHEMICAL
Paxil,803,808,CHEMICAL
Prednisone,826,836,CHEMICAL
Darvocet,854,862,CHEMICAL
Nexium,960,966,CHEMICAL
complaints of shortness of breath,1047,1080,DISEASE
COPD,1109,1113,DISEASE
AMA,1186,1189,CHEMICAL
COPD,1303,1307,DISEASE
bronchitis,1366,1376,DISEASE
diverticular disease,1608,1628,DISEASE
hemorrhage,1690,1700,DISEASE
Plavix,1702,1708,CHEMICAL
Lovenox,1745,1752,CHEMICAL
bleeding,1787,1795,DISEASE
Paxil 10 mg,120,123,DRUG_DOSE
"Chronic obstructive pulmonary disease.,2",29,69,DISEASE
Diabetes,114,122,DISEASE
"chronic obstructive pulmonary disease.,2",247,287,DISEASE
Diabetes,289,297,DISEASE
Albuterol,553,562,CHEMICAL
Xanax,581,586,CHEMICAL
Cardizem,602,610,CHEMICAL
Colace,631,637,CHEMICAL
"NPH 10 units subcutaneous b.i.d.,7",685,719,DISEASE
Atrovent,721,729,CHEMICAL
Statin,748,754,CHEMICAL
Paxil,803,808,CHEMICAL
Prednisone,826,836,CHEMICAL
Darvocet,854,862,CHEMICAL
Nexium,960,966,CHEMICAL
complaints of shortness of breath,1047,1080,DISEASE
COPD,1109,1113,DISEASE
AMA,1186,1189,CHEMICAL
COPD,1303,1307,DISEASE
bronchitis,1366,1376,DISEASE
diverticular disease,1608,1628,DISEASE
hemorrhage,1690,1700,DISEASE
Plavix,1702,1708,CHEMICAL
Lovenox,1745,1752,CHEMICAL
bleeding,1787,1795,DISEASE
Prednisone 20 mg,125,128,DRUG_DOSE
"Chronic obstructive pulmonary disease.,2",29,69,DISEASE
Diabetes,114,122,DISEASE
"chronic obstructive pulmonary disease.,2",247,287,DISEASE
Diabetes,289,297,DISEASE
Albuterol,553,562,CHEMICAL
Xanax,581,586,CHEMICAL
Cardizem,602,610,CHEMICAL
Colace,631,637,CHEMICAL
"NPH 10 units subcutaneous b.i.d.,7",685,719,DISEASE
Atrovent,721,729,CHEMICAL
Statin,748,754,CHEMICAL
Paxil,803,808,CHEMICAL
Prednisone,826,836,CHEMICAL
Darvocet,854,862,CHEMICAL
Nexium,960,966,CHEMICAL
complaints of shortness of breath,1047,1080,DISEASE
COPD,1109,1113,DISEASE
AMA,1186,1189,CHEMICAL
COPD,1303,1307,DISEASE
bronchitis,1366,1376,DISEASE
diverticular disease,1608,1628,DISEASE
hemorrhage,1690,1700,DISEASE
Plavix,1702,1708,CHEMICAL
Lovenox,1745,1752,CHEMICAL
bleeding,1787,1795,DISEASE
Nexium 40 mg,149,152,DRUG_DOSE
"Chronic obstructive pulmonary disease.,2",29,69,DISEASE
Diabetes,114,122,DISEASE
"chronic obstructive pulmonary disease.,2",247,287,DISEASE
Diabetes,289,297,DISEASE
Albuterol,553,562,CHEMICAL
Xanax,581,586,CHEMICAL
Cardizem,602,610,CHEMICAL
Colace,631,637,CHEMICAL
"NPH 10 units subcutaneous b.i.d.,7",685,719,DISEASE
Atrovent,721,729,CHEMICAL
Statin,748,754,CHEMICAL
Paxil,803,808,CHEMICAL
Prednisone,826,836,CHEMICAL
Darvocet,854,862,CHEMICAL
Nexium,960,966,CHEMICAL
complaints of shortness of breath,1047,1080,DISEASE
COPD,1109,1113,DISEASE
AMA,1186,1189,CHEMICAL
COPD,1303,1307,DISEASE
bronchitis,1366,1376,DISEASE
diverticular disease,1608,1628,DISEASE
hemorrhage,1690,1700,DISEASE
Plavix,1702,1708,CHEMICAL
Lovenox,1745,1752,CHEMICAL
bleeding,1787,1795,DISEASE
Naprosyn one p.o,1109,1112,DRUG_DOSE
Hallux interphalangeus,59,81,DISEASE
Hallux interphalangeus,155,177,DISEASE
"foot.,PROCEDURES",185,201,CHEMICAL
painful bunion,539,553,DISEASE
painful bunion,627,641,DISEASE
Marcaine,1535,1543,CHEMICAL
Lidocaine,1557,1566,CHEMICAL
interphalangeus deformity,3925,3950,DISEASE
dexamethasone phosphate,5166,5189,CHEMICAL
Vicodin,5868,5875,CHEMICAL
pain,5907,5911,DISEASE
Naprosyn,5916,5924,CHEMICAL
Lidocaine 1%,260,263,DRUG_DOSE
basal cell nevus syndrome,676,701,DISEASE
throat,1325,1331,DISEASE
Lidocaine,1450,1459,CHEMICAL
epinephrine,1468,1479,CHEMICAL
"1:100,000",1497,1506,CHEMICAL
tooth,2206,2211,DISEASE
Tooth,2235,2240,DISEASE
clindamycin,3685,3696,CHEMICAL
throat,3921,3927,DISEASE
blood loss,4068,4078,DISEASE
lidocaine 2%,221,224,DRUG_DOSE
Mobitz type II block,64,84,DISEASE
AV dissociation,90,105,DISEASE
Mobitz type II block,146,166,DISEASE
Benadryl,974,982,CHEMICAL
lidocaine,1370,1379,CHEMICAL
asystole,1541,1549,DISEASE
"standby.,After",1789,1803,CHEMICAL
bleeding,3632,3640,DISEASE
asystole,3838,3846,DISEASE
"Creatinine 1.3,",91,94,DRUG_DOSE
pain,200,204,DISEASE
erectile dysfunction,261,281,DISEASE
Creatinine,496,506,CHEMICAL
sodium,512,518,CHEMICAL
potassium,528,537,CHEMICAL
Calcium,544,551,CHEMICAL
Marcaine,1037,1045,CHEMICAL
"sodium 141,",94,97,DRUG_DOSE
pain,200,204,DISEASE
erectile dysfunction,261,281,DISEASE
Creatinine,496,506,CHEMICAL
sodium,512,518,CHEMICAL
potassium,528,537,CHEMICAL
Calcium,544,551,CHEMICAL
Marcaine,1037,1045,CHEMICAL
potassium 4.0.,98,101,DRUG_DOSE
pain,200,204,DISEASE
erectile dysfunction,261,281,DISEASE
Creatinine,496,506,CHEMICAL
sodium,512,518,CHEMICAL
potassium,528,537,CHEMICAL
Calcium,544,551,CHEMICAL
Marcaine,1037,1045,CHEMICAL
Calcium 8.6.,102,105,DRUG_DOSE
pain,200,204,DISEASE
erectile dysfunction,261,281,DISEASE
Creatinine,496,506,CHEMICAL
sodium,512,518,CHEMICAL
potassium,528,537,CHEMICAL
Calcium,544,551,CHEMICAL
Marcaine,1037,1045,CHEMICAL
7-hole 2.3 titanium,607,610,DRUG_DOSE
fractures,317,326,DISEASE
titanium,566,574,CHEMICAL
fractures,994,1003,DISEASE
loss of consciousness,1017,1038,DISEASE
mall occlusion,1114,1128,DISEASE
sore,1133,1137,DISEASE
fractures,1264,1273,DISEASE
fracture,1365,1373,DISEASE
fractures,1525,1534,DISEASE
ASA,1803,1806,CHEMICAL
lidocaine,2150,2159,CHEMICAL
"1:100,000 epinephrine",2165,2186,CHEMICAL
nerve block,2225,2236,DISEASE
malocclusion,2626,2638,DISEASE
bruxism,2651,2658,DISEASE
lidocaine,2831,2840,CHEMICAL
epinephrine,2846,2857,CHEMICAL
fracture,3304,3312,DISEASE
fracture,3424,3432,DISEASE
7-hole,3469,3475,CHEMICAL
titanium,3480,3488,CHEMICAL
lidocaine,3681,3690,CHEMICAL
"1:100,000 epinephrine",3696,3717,CHEMICAL
fracture,3896,3904,DISEASE
fracture,3944,3952,DISEASE
fracture,4129,4137,DISEASE
fracture,4243,4251,DISEASE
throat,4760,4766,DISEASE
aspirin 81 mg,434,437,DRUG_DOSE
pain,106,110,DISEASE
fracture,127,135,DISEASE
pain,351,355,DISEASE
fracture,391,399,DISEASE
pain,485,489,DISEASE
pain,533,537,DISEASE
pain,582,586,DISEASE
pain,697,701,DISEASE
meningioma,799,809,DISEASE
depressive symptoms,867,886,DISEASE
depressed,1300,1309,DISEASE
fracture,1403,1411,DISEASE
ideations,1494,1503,DISEASE
ideations,1518,1527,DISEASE
manic,1577,1582,DISEASE
impulsivity,1652,1663,DISEASE
hallucinations,1693,1707,DISEASE
delusions,1723,1732,DISEASE
flashbacks,1800,1810,DISEASE
anxiety,1834,1841,DISEASE
restless,1866,1874,DISEASE
Hypertension,2007,2019,DISEASE
cataracts,2021,2030,DISEASE
osteoporosis,2050,2062,DISEASE
fracture,2112,2120,DISEASE
diabetes,2142,2150,DISEASE
seizures,2185,2193,DISEASE
strokes,2195,2202,DISEASE
aspirin,2271,2278,CHEMICAL
Klonopin,2323,2331,CHEMICAL
digoxin,2352,2359,CHEMICAL
Lexapro,2381,2388,CHEMICAL
TriCor,2407,2413,CHEMICAL
Lasix,2440,2445,CHEMICAL
lidocaine,2487,2496,CHEMICAL
Zestril,2504,2511,CHEMICAL
Lopressor,2540,2549,CHEMICAL
potassium chloride,2677,2695,CHEMICAL
p.o,2703,2706,CHEMICAL
p.o,2733,2736,CHEMICAL
Zofran,2752,2758,CHEMICAL
psychiatric,2940,2951,DISEASE
psychiatric,3002,3013,DISEASE
VP,3178,3180,CHEMICAL
depressed,3827,3836,DISEASE
delusions,3956,3965,DISEASE
ideations,3989,3998,DISEASE
hallucinations,4035,4049,DISEASE
fracture,4348,4356,DISEASE
thoracic compression fractures,4365,4395,DISEASE
depression,4473,4483,DISEASE
"depression disorder.,Axis II",4551,4579,DISEASE
Osteoporosis,4603,4615,DISEASE
hypertension,4617,4629,DISEASE
fracture,4635,4643,DISEASE
diabetes,4654,4662,DISEASE
meningioma,4664,4674,DISEASE
Lexapro,4823,4830,CHEMICAL
TCA,4905,4908,CHEMICAL
depressive,4926,4936,DISEASE
"inpatient psychiatric care.,Thank",4973,5006,DISEASE
Klonopin 0.5 mg,448,451,DRUG_DOSE
pain,106,110,DISEASE
fracture,127,135,DISEASE
pain,351,355,DISEASE
fracture,391,399,DISEASE
pain,485,489,DISEASE
pain,533,537,DISEASE
pain,582,586,DISEASE
pain,697,701,DISEASE
meningioma,799,809,DISEASE
depressive symptoms,867,886,DISEASE
depressed,1300,1309,DISEASE
fracture,1403,1411,DISEASE
ideations,1494,1503,DISEASE
ideations,1518,1527,DISEASE
manic,1577,1582,DISEASE
impulsivity,1652,1663,DISEASE
hallucinations,1693,1707,DISEASE
delusions,1723,1732,DISEASE
flashbacks,1800,1810,DISEASE
anxiety,1834,1841,DISEASE
restless,1866,1874,DISEASE
Hypertension,2007,2019,DISEASE
cataracts,2021,2030,DISEASE
osteoporosis,2050,2062,DISEASE
fracture,2112,2120,DISEASE
diabetes,2142,2150,DISEASE
seizures,2185,2193,DISEASE
strokes,2195,2202,DISEASE
aspirin,2271,2278,CHEMICAL
Klonopin,2323,2331,CHEMICAL
digoxin,2352,2359,CHEMICAL
Lexapro,2381,2388,CHEMICAL
TriCor,2407,2413,CHEMICAL
Lasix,2440,2445,CHEMICAL
lidocaine,2487,2496,CHEMICAL
Zestril,2504,2511,CHEMICAL
Lopressor,2540,2549,CHEMICAL
potassium chloride,2677,2695,CHEMICAL
p.o,2703,2706,CHEMICAL
p.o,2733,2736,CHEMICAL
Zofran,2752,2758,CHEMICAL
psychiatric,2940,2951,DISEASE
psychiatric,3002,3013,DISEASE
VP,3178,3180,CHEMICAL
depressed,3827,3836,DISEASE
delusions,3956,3965,DISEASE
ideations,3989,3998,DISEASE
hallucinations,4035,4049,DISEASE
fracture,4348,4356,DISEASE
thoracic compression fractures,4365,4395,DISEASE
depression,4473,4483,DISEASE
"depression disorder.,Axis II",4551,4579,DISEASE
Osteoporosis,4603,4615,DISEASE
hypertension,4617,4629,DISEASE
fracture,4635,4643,DISEASE
diabetes,4654,4662,DISEASE
meningioma,4664,4674,DISEASE
Lexapro,4823,4830,CHEMICAL
TCA,4905,4908,CHEMICAL
depressive,4926,4936,DISEASE
"inpatient psychiatric care.,Thank",4973,5006,DISEASE
digoxin 0.125 mg,456,459,DRUG_DOSE
pain,106,110,DISEASE
fracture,127,135,DISEASE
pain,351,355,DISEASE
fracture,391,399,DISEASE
pain,485,489,DISEASE
pain,533,537,DISEASE
pain,582,586,DISEASE
pain,697,701,DISEASE
meningioma,799,809,DISEASE
depressive symptoms,867,886,DISEASE
depressed,1300,1309,DISEASE
fracture,1403,1411,DISEASE
ideations,1494,1503,DISEASE
ideations,1518,1527,DISEASE
manic,1577,1582,DISEASE
impulsivity,1652,1663,DISEASE
hallucinations,1693,1707,DISEASE
delusions,1723,1732,DISEASE
flashbacks,1800,1810,DISEASE
anxiety,1834,1841,DISEASE
restless,1866,1874,DISEASE
Hypertension,2007,2019,DISEASE
cataracts,2021,2030,DISEASE
osteoporosis,2050,2062,DISEASE
fracture,2112,2120,DISEASE
diabetes,2142,2150,DISEASE
seizures,2185,2193,DISEASE
strokes,2195,2202,DISEASE
aspirin,2271,2278,CHEMICAL
Klonopin,2323,2331,CHEMICAL
digoxin,2352,2359,CHEMICAL
Lexapro,2381,2388,CHEMICAL
TriCor,2407,2413,CHEMICAL
Lasix,2440,2445,CHEMICAL
lidocaine,2487,2496,CHEMICAL
Zestril,2504,2511,CHEMICAL
Lopressor,2540,2549,CHEMICAL
potassium chloride,2677,2695,CHEMICAL
p.o,2703,2706,CHEMICAL
p.o,2733,2736,CHEMICAL
Zofran,2752,2758,CHEMICAL
psychiatric,2940,2951,DISEASE
psychiatric,3002,3013,DISEASE
VP,3178,3180,CHEMICAL
depressed,3827,3836,DISEASE
delusions,3956,3965,DISEASE
ideations,3989,3998,DISEASE
hallucinations,4035,4049,DISEASE
fracture,4348,4356,DISEASE
thoracic compression fractures,4365,4395,DISEASE
depression,4473,4483,DISEASE
"depression disorder.,Axis II",4551,4579,DISEASE
Osteoporosis,4603,4615,DISEASE
hypertension,4617,4629,DISEASE
fracture,4635,4643,DISEASE
diabetes,4654,4662,DISEASE
meningioma,4664,4674,DISEASE
Lexapro,4823,4830,CHEMICAL
TCA,4905,4908,CHEMICAL
depressive,4926,4936,DISEASE
"inpatient psychiatric care.,Thank",4973,5006,DISEASE
Lexapro 10 mg,463,466,DRUG_DOSE
pain,106,110,DISEASE
fracture,127,135,DISEASE
pain,351,355,DISEASE
fracture,391,399,DISEASE
pain,485,489,DISEASE
pain,533,537,DISEASE
pain,582,586,DISEASE
pain,697,701,DISEASE
meningioma,799,809,DISEASE
depressive symptoms,867,886,DISEASE
depressed,1300,1309,DISEASE
fracture,1403,1411,DISEASE
ideations,1494,1503,DISEASE
ideations,1518,1527,DISEASE
manic,1577,1582,DISEASE
impulsivity,1652,1663,DISEASE
hallucinations,1693,1707,DISEASE
delusions,1723,1732,DISEASE
flashbacks,1800,1810,DISEASE
anxiety,1834,1841,DISEASE
restless,1866,1874,DISEASE
Hypertension,2007,2019,DISEASE
cataracts,2021,2030,DISEASE
osteoporosis,2050,2062,DISEASE
fracture,2112,2120,DISEASE
diabetes,2142,2150,DISEASE
seizures,2185,2193,DISEASE
strokes,2195,2202,DISEASE
aspirin,2271,2278,CHEMICAL
Klonopin,2323,2331,CHEMICAL
digoxin,2352,2359,CHEMICAL
Lexapro,2381,2388,CHEMICAL
TriCor,2407,2413,CHEMICAL
Lasix,2440,2445,CHEMICAL
lidocaine,2487,2496,CHEMICAL
Zestril,2504,2511,CHEMICAL
Lopressor,2540,2549,CHEMICAL
potassium chloride,2677,2695,CHEMICAL
p.o,2703,2706,CHEMICAL
p.o,2733,2736,CHEMICAL
Zofran,2752,2758,CHEMICAL
psychiatric,2940,2951,DISEASE
psychiatric,3002,3013,DISEASE
VP,3178,3180,CHEMICAL
depressed,3827,3836,DISEASE
delusions,3956,3965,DISEASE
ideations,3989,3998,DISEASE
hallucinations,4035,4049,DISEASE
fracture,4348,4356,DISEASE
thoracic compression fractures,4365,4395,DISEASE
depression,4473,4483,DISEASE
"depression disorder.,Axis II",4551,4579,DISEASE
Osteoporosis,4603,4615,DISEASE
hypertension,4617,4629,DISEASE
fracture,4635,4643,DISEASE
diabetes,4654,4662,DISEASE
meningioma,4664,4674,DISEASE
Lexapro,4823,4830,CHEMICAL
TCA,4905,4908,CHEMICAL
depressive,4926,4936,DISEASE
"inpatient psychiatric care.,Thank",4973,5006,DISEASE
TriCor 145 mg,470,473,DRUG_DOSE
pain,106,110,DISEASE
