Text,Start,End,Entity
panic,2821,2826,DISEASE
Polysubstance abuse,2840,2859,DISEASE
benzodiazepines,2861,2876,CHEMICAL
migraine headaches,3009,3027,DISEASE
stepfather,3512,3522,CHEMICAL
Seroquel 1000 mg,348,351,DRUG_DOSE
panic,331,336,DISEASE
sore,799,803,DISEASE
grave disability,938,954,DISEASE
bipolar disorder,977,993,DISEASE
mania,999,1004,DISEASE
depression,1009,1019,DISEASE
anxiety,1025,1032,DISEASE
panic,1037,1042,DISEASE
migraine headaches,1324,1342,DISEASE
allergy,1387,1394,DISEASE
Haldol,1399,1405,CHEMICAL
Klonopin,1693,1701,CHEMICAL
lithium,1742,1749,CHEMICAL
Depakote,1768,1776,CHEMICAL
Seroquel,1796,1804,CHEMICAL
benzodiazepines,2037,2052,CHEMICAL
cocaine,2054,2061,CHEMICAL
primary psychotic symptoms,2202,2228,DISEASE
agitation,2235,2244,DISEASE
psychomotor hyperactivity,2250,2275,DISEASE
psychiatric,2337,2348,DISEASE
bipolar disorder,2521,2537,DISEASE
anxiety,2539,2546,DISEASE
polysubstance abuse,2548,2567,DISEASE
ADHD,2585,2589,DISEASE
polysubstance abuse,2662,2681,DISEASE
depression,2793,2803,DISEASE
anxiety,2809,2816,DISEASE
panic,2821,2826,DISEASE
Polysubstance abuse,2840,2859,DISEASE
benzodiazepines,2861,2876,CHEMICAL
migraine headaches,3009,3027,DISEASE
stepfather,3512,3522,CHEMICAL
omeprazole 20 mg,1097,1100,DRUG_DOSE
pain,105,109,DISEASE
pain,154,158,DISEASE
earache,333,340,DISEASE
earache,458,465,DISEASE
trauma,548,554,DISEASE
hypertension,1385,1397,DISEASE
heartburn,1415,1424,DISEASE
otitis,1810,1816,DISEASE
respiratory infections,1843,1865,DISEASE
amoxicillin,1900,1911,CHEMICAL
otitis,1921,1927,DISEASE
Pepcid,2113,2119,CHEMICAL
heartburn,2146,2155,DISEASE
Pepcid,2202,2208,CHEMICAL
sore throats,2266,2278,DISEASE
throat,2320,2326,DISEASE
tenderness,3713,3723,DISEASE
heartburn,3740,3749,DISEASE
hepatosplenomegaly,3840,3858,DISEASE
tenderness,3862,3872,DISEASE
CVA,3878,3881,CHEMICAL
barium,4224,4230,CHEMICAL
peptic ulcer disease/gastritis,4429,4459,DISEASE
gastro esophageal reflux disease,4465,4497,DISEASE
GERD,4499,4503,DISEASE
carbonated beverage syndrome,4508,4536,DISEASE
otitis,4582,4588,DISEASE
penicillin,4604,4614,CHEMICAL
otitis,4717,4723,DISEASE
peptic ulcer disease,4979,4999,DISEASE
pylori,5015,5021,DISEASE
pain,5041,5045,DISEASE
Trauma,5080,5086,DISEASE
Trauma,5089,5095,DISEASE
heartburn,5398,5407,DISEASE
GERD,5506,5510,DISEASE
edema,5626,5631,DISEASE
inflammation,5633,5645,DISEASE
omeprazole,5714,5724,CHEMICAL
heartburn,5803,5812,DISEASE
antacid,5903,5910,CHEMICAL
Xylocaine 1%,182,185,DRUG_DOSE
"Masticatory dysfunction.,POSTOPERATIVE",113,151,DISEASE
Xylocaine,1077,1086,CHEMICAL
"1:100,000 epinephrine",1091,1112,CHEMICAL
palate,1591,1597,DISEASE
titanium,2178,2186,CHEMICAL
platelet-rich,2418,2431,CHEMICAL
Xylocaine,2841,2850,CHEMICAL
"1:100,000 epinephrine",2852,2873,CHEMICAL
titanium,4058,4066,CHEMICAL
blood loss,4524,4534,DISEASE
blood loss,4588,4598,DISEASE
blood loss,4645,4655,DISEASE
epinephrine 7 ml,187,190,DRUG_DOSE
"Masticatory dysfunction.,POSTOPERATIVE",113,151,DISEASE
Xylocaine,1077,1086,CHEMICAL
"1:100,000 epinephrine",1091,1112,CHEMICAL
palate,1591,1597,DISEASE
titanium,2178,2186,CHEMICAL
platelet-rich,2418,2431,CHEMICAL
Xylocaine,2841,2850,CHEMICAL
"1:100,000 epinephrine",2852,2873,CHEMICAL
titanium,4058,4066,CHEMICAL
blood loss,4524,4534,DISEASE
blood loss,4588,4598,DISEASE
blood loss,4645,4655,DISEASE
Naprosyn 375 mg,2356,2359,DRUG_DOSE
Hallux abductovalgus,28,48,DISEASE
bunionette,141,151,DISEASE
Degenerative joint disease,169,195,DISEASE
Rheumatoid,240,250,DISEASE
Hallux abductovalgus,346,366,DISEASE
bunionette,459,469,DISEASE
Degenerative joint disease,487,513,DISEASE
Rheumatoid,558,568,DISEASE
hemi implant,698,710,DISEASE
rheumatoid arthritis,1290,1310,DISEASE
pain,1321,1325,DISEASE
pain,1345,1349,DISEASE
Marcaine,2268,2276,CHEMICAL
lidocaine,2290,2299,CHEMICAL
hypertrophic synovium,3961,3982,DISEASE
hypertrophic exostosis,4058,4080,DISEASE
erosion,4522,4529,DISEASE
hypertrophic synovium,4631,4652,DISEASE
exostosis,4689,4698,DISEASE
lateral exostosis,9734,9751,DISEASE
Tylenol,12434,12441,CHEMICAL
p.o,12461,12464,CHEMICAL
pain,12481,12485,DISEASE
Naprosyn,12490,12498,CHEMICAL
p.o,12506,12509,CHEMICAL
rheumatoid arthritis,12547,12567,DISEASE
Wellbutrin 300 mg,141,144,DRUG_DOSE
prostate,91,99,DISEASE
plasmacytoma,296,308,DISEASE
chest pain,355,365,DISEASE
Wellbutrin,761,771,CHEMICAL
Xanax,786,791,CHEMICAL
omeprazole,835,845,CHEMICAL
fatigue,1512,1519,DISEASE
chest pain,1562,1572,DISEASE
chest pain,1984,1994,DISEASE
chest pain,2093,2103,DISEASE
Xanax 0.25 mg,146,149,DRUG_DOSE
prostate,91,99,DISEASE
plasmacytoma,296,308,DISEASE
chest pain,355,365,DISEASE
Wellbutrin,761,771,CHEMICAL
Xanax,786,791,CHEMICAL
omeprazole,835,845,CHEMICAL
fatigue,1512,1519,DISEASE
chest pain,1562,1572,DISEASE
chest pain,1984,1994,DISEASE
chest pain,2093,2103,DISEASE
omeprazole 20 mg,158,161,DRUG_DOSE
prostate,91,99,DISEASE
plasmacytoma,296,308,DISEASE
chest pain,355,365,DISEASE
Wellbutrin,761,771,CHEMICAL
Xanax,786,791,CHEMICAL
omeprazole,835,845,CHEMICAL
fatigue,1512,1519,DISEASE
chest pain,1562,1572,DISEASE
chest pain,1984,1994,DISEASE
chest pain,2093,2103,DISEASE
iron 240 mg,324,327,DRUG_DOSE
pain,24,28,DISEASE
pain,43,47,DISEASE
cancer,106,112,DISEASE
cancer,289,295,DISEASE
pain,573,577,DISEASE
pain,632,636,DISEASE
pain,660,664,DISEASE
numbness,785,793,DISEASE
pain,841,845,DISEASE
pain,914,918,DISEASE
pain,939,943,DISEASE
pain,1002,1006,DISEASE
right leg pain,1018,1032,DISEASE
pain,1056,1060,DISEASE
pain,1093,1097,DISEASE
cancer,1346,1352,DISEASE
Duragesic,1490,1499,CHEMICAL
iron,1549,1553,CHEMICAL
Paxil,1574,1579,CHEMICAL
Percocet,1597,1605,CHEMICAL
warfarin,1678,1686,CHEMICAL
Neurontin,1766,1775,CHEMICAL
pain,2125,2129,DISEASE
muscle weakness,2639,2654,DISEASE
Sensations,2858,2868,DISEASE
"pinprick.,Spine",2930,2945,CHEMICAL
tenderness,3080,3090,DISEASE
sacroiliac joints,3121,3138,DISEASE
hip joints,3684,3694,DISEASE
intracranial abnormalities,3974,4000,DISEASE
sacroiliac joint syndrome,4171,4196,DISEASE
pain,4223,4227,DISEASE
lung cancer metastasis,4359,4381,DISEASE
primarily pain,4416,4430,DISEASE
sacroiliac joints,4461,4478,DISEASE
pain,4533,4537,DISEASE
facet joints,4612,4624,DISEASE
warfarin,4804,4812,CHEMICAL
pain,5142,5146,DISEASE
pain,5204,5208,DISEASE
Percocet,5303,5311,CHEMICAL
Paxil,5417,5422,CHEMICAL
Cymbalta,5455,5463,CHEMICAL
Peripheral neuropathy,5753,5774,DISEASE
Paxil 20 mg,330,333,DRUG_DOSE
pain,24,28,DISEASE
pain,43,47,DISEASE
cancer,106,112,DISEASE
cancer,289,295,DISEASE
pain,573,577,DISEASE
pain,632,636,DISEASE
pain,660,664,DISEASE
numbness,785,793,DISEASE
pain,841,845,DISEASE
pain,914,918,DISEASE
pain,939,943,DISEASE
pain,1002,1006,DISEASE
right leg pain,1018,1032,DISEASE
pain,1056,1060,DISEASE
pain,1093,1097,DISEASE
cancer,1346,1352,DISEASE
Duragesic,1490,1499,CHEMICAL
iron,1549,1553,CHEMICAL
Paxil,1574,1579,CHEMICAL
Percocet,1597,1605,CHEMICAL
warfarin,1678,1686,CHEMICAL
Neurontin,1766,1775,CHEMICAL
pain,2125,2129,DISEASE
muscle weakness,2639,2654,DISEASE
Sensations,2858,2868,DISEASE
"pinprick.,Spine",2930,2945,CHEMICAL
tenderness,3080,3090,DISEASE
sacroiliac joints,3121,3138,DISEASE
hip joints,3684,3694,DISEASE
intracranial abnormalities,3974,4000,DISEASE
sacroiliac joint syndrome,4171,4196,DISEASE
pain,4223,4227,DISEASE
lung cancer metastasis,4359,4381,DISEASE
primarily pain,4416,4430,DISEASE
sacroiliac joints,4461,4478,DISEASE
pain,4533,4537,DISEASE
facet joints,4612,4624,DISEASE
warfarin,4804,4812,CHEMICAL
pain,5142,5146,DISEASE
pain,5204,5208,DISEASE
Percocet,5303,5311,CHEMICAL
Paxil,5417,5422,CHEMICAL
Cymbalta,5455,5463,CHEMICAL
Peripheral neuropathy,5753,5774,DISEASE
warfarin 1 mg,356,359,DRUG_DOSE
pain,24,28,DISEASE
pain,43,47,DISEASE
cancer,106,112,DISEASE
cancer,289,295,DISEASE
pain,573,577,DISEASE
pain,632,636,DISEASE
pain,660,664,DISEASE
numbness,785,793,DISEASE
pain,841,845,DISEASE
pain,914,918,DISEASE
pain,939,943,DISEASE
pain,1002,1006,DISEASE
right leg pain,1018,1032,DISEASE
pain,1056,1060,DISEASE
pain,1093,1097,DISEASE
cancer,1346,1352,DISEASE
Duragesic,1490,1499,CHEMICAL
iron,1549,1553,CHEMICAL
Paxil,1574,1579,CHEMICAL
Percocet,1597,1605,CHEMICAL
warfarin,1678,1686,CHEMICAL
Neurontin,1766,1775,CHEMICAL
pain,2125,2129,DISEASE
muscle weakness,2639,2654,DISEASE
Sensations,2858,2868,DISEASE
"pinprick.,Spine",2930,2945,CHEMICAL
tenderness,3080,3090,DISEASE
sacroiliac joints,3121,3138,DISEASE
hip joints,3684,3694,DISEASE
intracranial abnormalities,3974,4000,DISEASE
sacroiliac joint syndrome,4171,4196,DISEASE
pain,4223,4227,DISEASE
lung cancer metastasis,4359,4381,DISEASE
primarily pain,4416,4430,DISEASE
sacroiliac joints,4461,4478,DISEASE
pain,4533,4537,DISEASE
facet joints,4612,4624,DISEASE
warfarin,4804,4812,CHEMICAL
pain,5142,5146,DISEASE
pain,5204,5208,DISEASE
Percocet,5303,5311,CHEMICAL
Paxil,5417,5422,CHEMICAL
Cymbalta,5455,5463,CHEMICAL
Peripheral neuropathy,5753,5774,DISEASE
Neurontin 300 mg,377,380,DRUG_DOSE
pain,24,28,DISEASE
pain,43,47,DISEASE
cancer,106,112,DISEASE
cancer,289,295,DISEASE
pain,573,577,DISEASE
pain,632,636,DISEASE
pain,660,664,DISEASE
numbness,785,793,DISEASE
pain,841,845,DISEASE
pain,914,918,DISEASE
pain,939,943,DISEASE
pain,1002,1006,DISEASE
right leg pain,1018,1032,DISEASE
pain,1056,1060,DISEASE
pain,1093,1097,DISEASE
cancer,1346,1352,DISEASE
Duragesic,1490,1499,CHEMICAL
iron,1549,1553,CHEMICAL
Paxil,1574,1579,CHEMICAL
Percocet,1597,1605,CHEMICAL
warfarin,1678,1686,CHEMICAL
Neurontin,1766,1775,CHEMICAL
pain,2125,2129,DISEASE
muscle weakness,2639,2654,DISEASE
Sensations,2858,2868,DISEASE
"pinprick.,Spine",2930,2945,CHEMICAL
tenderness,3080,3090,DISEASE
sacroiliac joints,3121,3138,DISEASE
hip joints,3684,3694,DISEASE
intracranial abnormalities,3974,4000,DISEASE
sacroiliac joint syndrome,4171,4196,DISEASE
pain,4223,4227,DISEASE
lung cancer metastasis,4359,4381,DISEASE
primarily pain,4416,4430,DISEASE
sacroiliac joints,4461,4478,DISEASE
pain,4533,4537,DISEASE
facet joints,4612,4624,DISEASE
warfarin,4804,4812,CHEMICAL
pain,5142,5146,DISEASE
pain,5204,5208,DISEASE
Percocet,5303,5311,CHEMICAL
Paxil,5417,5422,CHEMICAL
Cymbalta,5455,5463,CHEMICAL
Peripheral neuropathy,5753,5774,DISEASE
Imuran 100 mg,855,858,DRUG_DOSE
Crohn's disease,39,54,DISEASE
Imuran,124,130,CHEMICAL
intermittent obstructive symptoms,249,282,DISEASE
abdominal pain,433,447,DISEASE
vomiting,452,460,DISEASE
obstruction,511,522,DISEASE
obstruction,677,688,DISEASE
bleeding,862,870,DISEASE
fever,1076,1081,DISEASE
tenderness,1145,1155,DISEASE
anastomotic stricture,1253,1274,DISEASE
abdominal pain,1381,1395,DISEASE
obstruction,1417,1428,DISEASE
Crohn's disease,1480,1495,DISEASE
hepatitis,1583,1592,DISEASE
Tylenol,1674,1681,CHEMICAL
migraine-type headaches,1686,1709,DISEASE
Imuran,1757,1763,CHEMICAL
Tylenol,1802,1809,CHEMICAL
Imuran,1887,1893,CHEMICAL
heartburn,1932,1941,DISEASE
allergies,2319,2328,DISEASE
Crohn's disease,2383,2398,DISEASE
vitamin B12,2400,2411,CHEMICAL
Imuran,2439,2445,CHEMICAL
Vicodin,2457,2464,CHEMICAL
indurated,2725,2734,DISEASE
erythema,2847,2855,DISEASE
edema,2878,2883,DISEASE
tenderness,2947,2957,DISEASE
Crohn's disease,3347,3362,DISEASE
Imuran,3405,3411,CHEMICAL
bowel obstruction,3439,3456,DISEASE
hepatitis,3517,3526,DISEASE
Tylenol,3554,3561,CHEMICAL
reflux,3606,3612,DISEASE
thrombophlebitis,3639,3655,DISEASE
recurrent bowel obstruction type symptoms.,3787,3829,DISEASE
abdominal pain,4027,4041,DISEASE
nausea,4043,4049,DISEASE
vomiting,4051,4059,DISEASE
obstructions,4168,4180,DISEASE
Imuran,4272,4278,CHEMICAL
Tylenol,4320,4327,CHEMICAL
migraines,4405,4414,DISEASE
Tylenol,4427,4434,CHEMICAL
aspirin,4460,4467,CHEMICAL
migraine headaches,4546,4564,DISEASE
liver disease,4597,4610,DISEASE
reflux-type,4763,4774,DISEASE
Zantac,5009,5015,CHEMICAL
Zantac 150 mg,988,991,DRUG_DOSE
Crohn's disease,39,54,DISEASE
Imuran,124,130,CHEMICAL
intermittent obstructive symptoms,249,282,DISEASE
abdominal pain,433,447,DISEASE
vomiting,452,460,DISEASE
obstruction,511,522,DISEASE
obstruction,677,688,DISEASE
bleeding,862,870,DISEASE
fever,1076,1081,DISEASE
tenderness,1145,1155,DISEASE
anastomotic stricture,1253,1274,DISEASE
abdominal pain,1381,1395,DISEASE
obstruction,1417,1428,DISEASE
Crohn's disease,1480,1495,DISEASE
hepatitis,1583,1592,DISEASE
Tylenol,1674,1681,CHEMICAL
migraine-type headaches,1686,1709,DISEASE
Imuran,1757,1763,CHEMICAL
Tylenol,1802,1809,CHEMICAL
Imuran,1887,1893,CHEMICAL
heartburn,1932,1941,DISEASE
allergies,2319,2328,DISEASE
Crohn's disease,2383,2398,DISEASE
vitamin B12,2400,2411,CHEMICAL
Imuran,2439,2445,CHEMICAL
Vicodin,2457,2464,CHEMICAL
indurated,2725,2734,DISEASE
erythema,2847,2855,DISEASE
edema,2878,2883,DISEASE
tenderness,2947,2957,DISEASE
Crohn's disease,3347,3362,DISEASE
Imuran,3405,3411,CHEMICAL
bowel obstruction,3439,3456,DISEASE
hepatitis,3517,3526,DISEASE
Tylenol,3554,3561,CHEMICAL
reflux,3606,3612,DISEASE
thrombophlebitis,3639,3655,DISEASE
recurrent bowel obstruction type symptoms.,3787,3829,DISEASE
abdominal pain,4027,4041,DISEASE
nausea,4043,4049,DISEASE
vomiting,4051,4059,DISEASE
obstructions,4168,4180,DISEASE
Imuran,4272,4278,CHEMICAL
Tylenol,4320,4327,CHEMICAL
migraines,4405,4414,DISEASE
Tylenol,4427,4434,CHEMICAL
aspirin,4460,4467,CHEMICAL
migraine headaches,4546,4564,DISEASE
liver disease,4597,4610,DISEASE
reflux-type,4763,4774,DISEASE
Zantac,5009,5015,CHEMICAL
Vicodin 1-,732,735,DRUG_DOSE
Hodgkin's lymphoma,871,889,DISEASE
Hodgkin's lymphoma,1041,1059,DISEASE
pain,4045,4049,DISEASE
Vicodin,4065,4072,CHEMICAL
pain,4107,4111,DISEASE
Keflex,4128,4134,CHEMICAL
morphine 1 mg,268,271,DRUG_DOSE
spondylosis,35,46,DISEASE
spondylosis,172,183,DISEASE
Morphine,458,466,CHEMICAL
spondylosis,698,709,DISEASE
myelopathy,714,724,DISEASE
morphine,1486,1494,CHEMICAL
Xylocaine,1575,1584,CHEMICAL
epinephrine,1589,1600,CHEMICAL
pins,1886,1890,CHEMICAL
Keppra 1500 twice,120,123,DRUG_DOSE
seizures,270,278,DISEASE
hemiparesis,280,291,DISEASE
Keppra,577,583,CHEMICAL
oxycodone,666,675,CHEMICAL
aspirin,680,687,CHEMICAL
Prilosec,695,703,CHEMICAL
Dilantin,705,713,CHEMICAL
oxygen,803,809,CHEMICAL
hyperventilation,844,860,DISEASE
dysphasia,934,943,DISEASE
brain edema,1212,1223,DISEASE
malignant meningioma,1236,1256,DISEASE
disability,1324,1334,DISEASE
tumor,1622,1627,DISEASE
tumor,1680,1685,DISEASE
Dilantin 300 a,148,151,DRUG_DOSE
seizures,270,278,DISEASE
hemiparesis,280,291,DISEASE
Keppra,577,583,CHEMICAL
oxycodone,666,675,CHEMICAL
aspirin,680,687,CHEMICAL
Prilosec,695,703,CHEMICAL
Dilantin,705,713,CHEMICAL
oxygen,803,809,CHEMICAL
hyperventilation,844,860,DISEASE
dysphasia,934,943,DISEASE
brain edema,1212,1223,DISEASE
malignant meningioma,1236,1256,DISEASE
disability,1324,1334,DISEASE
tumor,1622,1627,DISEASE
tumor,1680,1685,DISEASE
Losartan 50 mg,222,225,DRUG_DOSE
obtundation,167,178,DISEASE
septic shock,260,272,DISEASE
cardiac disease,517,532,DISEASE
chest pain,781,791,DISEASE
shortness of breath,793,812,DISEASE
hypertension,876,888,DISEASE
diabetes mellitus,904,921,DISEASE
cholesterol,934,945,CHEMICAL
coronary artery disease,994,1017,DISEASE
Losartan,1232,1240,CHEMICAL
Nifedipine,1258,1268,CHEMICAL
Potassium,1297,1306,CHEMICAL
fibrosis,1445,1453,DISEASE
prednisone,1458,1468,CHEMICAL
cellulitis,1487,1497,DISEASE
infection,1528,1537,DISEASE
respiratory acidosis,1591,1611,DISEASE
septicemia,1613,1623,DISEASE
septic shock,1628,1640,DISEASE
creatinine,2385,2395,CHEMICAL
potassium,2401,2410,CHEMICAL
bicarbonate,2419,2430,CHEMICAL
pulmonary fibrosis,2600,2618,DISEASE
prednisone,2623,2633,CHEMICAL
oxygen,2635,2641,CHEMICAL
Septicemia,2683,2693,DISEASE
septic shock,2695,2707,DISEASE
"cellulitis of the leg.,3",2721,2745,DISEASE
sepsis,2852,2858,DISEASE
sepsis,3176,3182,DISEASE
Nifedipine 90 mg,228,231,DRUG_DOSE
obtundation,167,178,DISEASE
septic shock,260,272,DISEASE
cardiac disease,517,532,DISEASE
chest pain,781,791,DISEASE
shortness of breath,793,812,DISEASE
hypertension,876,888,DISEASE
diabetes mellitus,904,921,DISEASE
cholesterol,934,945,CHEMICAL
coronary artery disease,994,1017,DISEASE
Losartan,1232,1240,CHEMICAL
Nifedipine,1258,1268,CHEMICAL
Potassium,1297,1306,CHEMICAL
fibrosis,1445,1453,DISEASE
prednisone,1458,1468,CHEMICAL
cellulitis,1487,1497,DISEASE
infection,1528,1537,DISEASE
respiratory acidosis,1591,1611,DISEASE
septicemia,1613,1623,DISEASE
septic shock,1628,1640,DISEASE
creatinine,2385,2395,CHEMICAL
potassium,2401,2410,CHEMICAL
bicarbonate,2419,2430,CHEMICAL
pulmonary fibrosis,2600,2618,DISEASE
prednisone,2623,2633,CHEMICAL
oxygen,2635,2641,CHEMICAL
Septicemia,2683,2693,DISEASE
septic shock,2695,2707,DISEASE
"cellulitis of the leg.,3",2721,2745,DISEASE
sepsis,2852,2858,DISEASE
sepsis,3176,3182,DISEASE
"creatinine 8.7,",435,438,DRUG_DOSE
obtundation,167,178,DISEASE
septic shock,260,272,DISEASE
cardiac disease,517,532,DISEASE
chest pain,781,791,DISEASE
shortness of breath,793,812,DISEASE
hypertension,876,888,DISEASE
diabetes mellitus,904,921,DISEASE
cholesterol,934,945,CHEMICAL
coronary artery disease,994,1017,DISEASE
Losartan,1232,1240,CHEMICAL
Nifedipine,1258,1268,CHEMICAL
Potassium,1297,1306,CHEMICAL
fibrosis,1445,1453,DISEASE
prednisone,1458,1468,CHEMICAL
cellulitis,1487,1497,DISEASE
infection,1528,1537,DISEASE
respiratory acidosis,1591,1611,DISEASE
septicemia,1613,1623,DISEASE
septic shock,1628,1640,DISEASE
creatinine,2385,2395,CHEMICAL
potassium,2401,2410,CHEMICAL
bicarbonate,2419,2430,CHEMICAL
pulmonary fibrosis,2600,2618,DISEASE
prednisone,2623,2633,CHEMICAL
oxygen,2635,2641,CHEMICAL
Septicemia,2683,2693,DISEASE
septic shock,2695,2707,DISEASE
"cellulitis of the leg.,3",2721,2745,DISEASE
sepsis,2852,2858,DISEASE
sepsis,3176,3182,DISEASE
"potassium 7.3,",438,441,DRUG_DOSE
obtundation,167,178,DISEASE
septic shock,260,272,DISEASE
cardiac disease,517,532,DISEASE
chest pain,781,791,DISEASE
shortness of breath,793,812,DISEASE
hypertension,876,888,DISEASE
diabetes mellitus,904,921,DISEASE
cholesterol,934,945,CHEMICAL
coronary artery disease,994,1017,DISEASE
Losartan,1232,1240,CHEMICAL
Nifedipine,1258,1268,CHEMICAL
Potassium,1297,1306,CHEMICAL
fibrosis,1445,1453,DISEASE
prednisone,1458,1468,CHEMICAL
cellulitis,1487,1497,DISEASE
infection,1528,1537,DISEASE
respiratory acidosis,1591,1611,DISEASE
septicemia,1613,1623,DISEASE
septic shock,1628,1640,DISEASE
creatinine,2385,2395,CHEMICAL
potassium,2401,2410,CHEMICAL
bicarbonate,2419,2430,CHEMICAL
pulmonary fibrosis,2600,2618,DISEASE
prednisone,2623,2633,CHEMICAL
oxygen,2635,2641,CHEMICAL
Septicemia,2683,2693,DISEASE
septic shock,2695,2707,DISEASE
"cellulitis of the leg.,3",2721,2745,DISEASE
sepsis,2852,2858,DISEASE
sepsis,3176,3182,DISEASE
Lortab 7.5 to,465,468,DRUG_DOSE
pain,414,418,DISEASE
pain,633,637,DISEASE
pain,653,657,DISEASE
pain,749,753,DISEASE
pain,761,765,DISEASE
pain,2078,2082,DISEASE
Lortab,2103,2109,CHEMICAL
pain,2250,2254,DISEASE
lidocaine 2%,293,296,DRUG_DOSE
left mandibular vestibular abscess,340,374,DISEASE
swelling,764,772,DISEASE
carious teeth,789,802,DISEASE
abscessed,819,828,DISEASE
carious teeth,952,965,DISEASE
throat,1317,1323,DISEASE
lidocaine,1422,1431,CHEMICAL
"1:100,000 epinephrine",1440,1461,CHEMICAL
Marcaine,1477,1485,CHEMICAL
"1:200,000 epinephrine",1496,1517,CHEMICAL
throat,2417,2423,DISEASE
Marcaine 0.5%,304,307,DRUG_DOSE
left mandibular vestibular abscess,340,374,DISEASE
swelling,764,772,DISEASE
carious teeth,789,802,DISEASE
abscessed,819,828,DISEASE
carious teeth,952,965,DISEASE
throat,1317,1323,DISEASE
lidocaine,1422,1431,CHEMICAL
"1:100,000 epinephrine",1440,1461,CHEMICAL
Marcaine,1477,1485,CHEMICAL
"1:200,000 epinephrine",1496,1517,CHEMICAL
throat,2417,2423,DISEASE
Nexium 40 mg,302,305,DRUG_DOSE
erosions,349,357,DISEASE
bleeding,873,881,DISEASE
varix,1055,1060,DISEASE
bleeding,1502,1510,DISEASE
Nexium,1575,1581,CHEMICAL
